 lga_code_2016,,vi,ko, es, pl, hi, fr, en, ar, nl, ta, it, sr, ur, zh, in, tr, ru, el, tl,de, sp_oth_lan_indo_ary_lan_ben_p, ja
27260,Wyndham ,2201,840,1904,634,7671,609,114394,4186,148,1913,2908,938,3717,10081,1530,352,485,1403,2846,341,2279,336
27350,Yarra ,3383,146,883,139,180,629,59277,690,159,90,1564,165,75,3683,177,239,145,2284,104,418,39,283
27450,Yarra Ranges ,141,60,346,311,202,297,129169,210,729,42,1357,52,19,1160,92,38,140,351,190,888,8,195
27630,Yarriambiack ,0,0,8,6,10,7,5774,8,3,0,10,0,0,14,0,0,0,12,0,10,0,3
29399,Unincorporated Vic,3,11,18,21,3,38,5962,3,11,0,42,21,0,125,3,0,31,21,4,63,0,15
30250,Aurukun ,0,0,0,0,0,0,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30300,Balonne ,4,3,0,3,0,3,3964,0,0,0,0,0,0,3,3,0,0,0,7,8,0,0
30370,Banana ,110,3,8,0,6,8,13289,3,8,44,25,0,7,61,5,0,7,7,62,15,12,0
30410,Barcaldine ,0,0,4,0,0,0,2924,0,3,0,4,0,13,0,0,0,0,0,0,10,0,0
30450,Barcoo ,0,0,0,0,0,0,336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30760,Blackall-Tambo ,0,0,0,0,7,0,1862,0,3,0,0,0,0,3,0,0,0,0,3,0,0,0
34710,Longreach ,0,0,3,0,7,4,4122,3,0,0,7,3,0,11,0,0,0,0,4,3,0,0
34770,Mackay ,90,26,149,48,177,107,98611,29,127,47,226,25,59,436,62,5,57,37,801,255,73,75
34800,McKinlay ,0,0,4,0,3,0,1278,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0
34830,Mapoon ,0,0,0,0,0,0,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34860,Maranoa ,3,11,15,0,17,8,11689,3,11,3,7,0,3,42,3,0,3,3,104,17,5,0
34880,Mareeba ,14,34,51,13,10,91,16705,0,51,0,860,8,0,131,5,4,6,29,27,197,0,62
35010,Moreton Bay ,508,622,1264,437,1468,823,368065,541,697,177,1197,143,129,2787,250,68,434,353,1551,1243,113,623
35250,Mornington ,0,0,0,0,0,0,919,0,3,0,0,0,0,0,0,0,0,0,8,3,0,0
35300,Mount Isa ,11,7,33,10,74,29,15173,3,3,43,46,8,15,53,20,3,20,28,148,41,3,8
35600,Murweh ,106,0,4,0,3,0,4078,0,0,0,4,0,0,6,0,0,0,3,6,8,0,0
35670,Napranum ,0,0,0,0,0,0,620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
35740,Noosa ,29,31,171,43,32,248,49954,21,171,3,220,11,0,162,60,13,35,69,59,477,6,101
35760,North Burnett ,3,86,6,0,3,36,9060,11,10,3,22,0,7,54,3,0,0,0,28,14,0,10
35780,Northern Peninsula Area ,0,0,0,0,0,3,767,0,0,3,3,0,0,0,0,0,0,0,5,4,0,0
35790,Palm Island ,0,0,0,0,0,0,2297,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
35800,Paroo ,0,0,0,0,0,0,1708,0,5,0,0,0,0,3,3,0,0,0,0,6,0,0
36070,Pormpuraaw ,0,0,0,0,0,0,311,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
36150,Quilpie ,0,0,0,0,0,0,837,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
36250,Redland ,184,89,415,203,275,312,129267,180,317,61,455,90,37,1010,83,52,185,336,311,544,11,232
36300,Richmond ,0,0,0,0,0,3,857,0,0,0,3,0,0,0,0,0,0,0,0,0,0,7
36370,Rockhampton ,414,78,64,19,141,46,69584,32,33,207,33,3,41,363,34,5,26,29,360,122,111,47
36510,Scenic Rim ,10,90,48,32,13,63,36092,17,69,3,40,10,3,72,24,0,39,17,37,187,0,74
36580,Somerset ,89,37,23,9,11,23,21591,14,29,3,15,4,0,63,7,0,17,12,165,98,18,13
36630,South Burnett ,30,9,7,9,19,31,28847,10,23,0,27,0,0,50,7,0,0,3,80,78,7,8
36660,Southern Downs ,17,79,54,21,37,40,31306,10,37,3,342,23,8,142,3,11,20,13,62,104,6,22
36720,Sunshine Coast ,229,366,677,241,284,858,267187,187,748,51,812,76,90,1157,214,44,206,260,409,1589,46,479
36820,Tablelands ,7,9,30,18,7,47,22375,13,51,6,217,0,0,45,5,3,3,10,33,158,0,48
36910,Toowoomba ,118,212,256,39,253,197,138828,880,151,127,192,29,88,1176,55,16,71,63,483,289,146,149
36950,Torres ,0,0,12,0,0,6,1575,0,0,0,6,0,0,5,0,0,3,0,0,0,0,8
36960,Torres Strait Island ,0,0,0,0,0,0,257,0,3,0,0,0,0,0,0,0,0,0,0,5,0,0
37010,Townsville ,353,280,428,108,316,314,160904,276,183,195,863,31,94,976,158,18,114,391,779,542,83,231
31000,Brisbane ,18548,11031,10497,2041,9835,4399,808841,6461,1671,3151,7649,2100,2610,66318,2770,665,2388,6243,5178,4346,2107,5198
32080,Cairns ,294,969,406,153,260,555,128161,153,414,87,1182,63,67,1890,220,47,141,234,789,1023,60,2390
32250,Carpentaria ,0,0,0,3,0,3,2750,0,9,0,0,0,0,4,0,0,0,3,0,13,0,6
32260,Cassowary Coast ,10,44,27,13,40,45,25265,3,47,3,528,3,5,118,18,0,8,80,117,95,3,89
30900,Boulia ,0,0,0,0,0,0,441,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
31750,Bulloo ,0,0,0,0,0,0,461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31820,Bundaberg ,158,158,89,24,82,114,83583,46,130,25,372,16,31,557,23,110,45,31,180,275,27,104
31900,Burdekin ,25,46,28,0,3,40,15091,0,9,3,497,0,0,42,4,0,6,53,24,16,4,50
31950,Burke ,0,3,0,0,0,0,594,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
32270,Central Highlands (QLD),8,33,44,5,35,31,25976,9,11,19,27,5,5,100,29,5,19,14,141,55,11,15
32310,Charters Towers ,11,3,8,7,3,10,11238,3,11,0,10,0,5,12,9,0,3,3,15,17,0,11
32330,Cherbourg ,0,0,0,0,0,0,1185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32450,Cloncurry ,4,0,0,0,7,3,3564,0,7,0,12,0,0,21,0,0,0,0,25,11,0,0
32500,Cook ,3,3,0,6,0,26,4614,0,7,0,25,3,0,19,0,0,3,0,15,41,0,24
32600,Croydon ,0,0,0,0,0,0,270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37300,Weipa ,0,0,4,0,4,0,3539,0,5,3,12,3,0,12,0,0,0,0,24,8,0,9
37310,Western Downs ,29,15,41,9,47,14,29829,6,16,14,15,7,8,65,3,4,11,5,193,34,4,11
37340,Whitsunday ,85,170,86,31,21,123,31681,32,67,21,147,16,13,401,27,28,21,69,142,157,3,90
33200,Flinders (QLD),0,0,4,4,0,0,1547,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
33220,Fraser Coast ,60,16,87,45,92,156,92552,51,186,36,163,22,41,269,29,5,37,53,185,428,14,50
33360,Gladstone ,53,51,123,43,139,59,54375,99,64,111,92,28,48,215,57,13,55,55,428,122,71,29
33430,Gold Coast ,971,3475,3162,979,1379,2189,457467,1814,961,314,2738,1095,420,13275,717,527,1370,1620,1601,2350,400,5758
33610,Goondiwindi ,7,4,3,3,6,4,9375,7,3,3,20,0,0,61,0,0,0,0,20,10,0,7
32750,Diamantina ,0,0,0,0,0,0,399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41140,Clare and Gilbert Valleys ,0,0,0,3,11,0,8220,5,15,0,15,3,0,15,3,0,5,6,4,18,0,17
32770,Doomadgee ,0,0,0,0,4,0,1383,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
32810,Douglas ,23,39,68,15,5,100,13505,12,52,9,154,4,8,71,11,4,30,31,17,143,0,34
33100,Etheridge ,0,0,0,0,0,0,1061,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0
33620,Gympie ,32,10,29,19,12,63,44650,13,60,27,60,8,4,82,17,0,24,13,73,166,4,40
33800,Hinchinbrook ,3,0,16,3,3,6,9778,0,7,5,536,0,0,18,3,0,0,4,15,18,0,0
33830,Hope Vale ,0,0,0,0,0,0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33960,Ipswich ,1829,215,1038,203,917,264,157389,498,304,310,189,164,161,1231,136,48,152,121,760,361,102,214
33980,Isaac ,17,7,39,3,45,27,21633,4,5,3,24,0,12,63,44,0,15,7,154,23,9,23
